_airbyte_raw_id,_airbyte_extracted_at,first_actor,rating,total_votes,title,year
019c19e3-61ac-760a-b538-9be827cd0fc9,2026-02-01 15:47:28.161+00,Rudolph Valentino,7.5,1339,The Son of the Sheik,1926
019c19e3-61ad-7854-9f4f-90dfb0618182,2026-02-01 15:47:28.161+00,Harry Langdon,6.8,547,The Strong Man,1926
019c19e3-61ae-798c-95bc-cdbc0aa63ef3,2026-02-01 15:47:28.161+00,Clara Bow,7.5,2025,It,1927
019c19e3-61af-7568-85fd-2048c1f3d47b,2026-02-01 15:47:28.161+00,Albert Dieudonnè,7.4,5064,Napoleon,1927
019c19e3-61b1-7397-b0be-b3c2ab0df1ad,2026-02-01 15:47:28.161+00,Nancy Nash,6.2,179,Upstream,1927
019c19e3-61b3-7ba0-b485-b5f4b0682270,2026-02-01 15:47:28.161+00,Clara Bow,7.8,7196,Wings,1927
019c19e3-61b4-79a7-8c81-e4d487868a07,2026-02-01 15:47:28.161+00,Margaret Mann,7,434,Four Sons,1928
019c19e3-61b5-7ae1-a2cc-5c3fbf95f4fe,2026-02-01 15:47:28.161+00,Lon Chaney,7.8,1257,"Laugh, Clown, Laugh",1928
019c19e3-61b7-7ea7-b1e1-43b2e8cb6b3f,2026-02-01 15:47:28.161+00,Valèry Inkijinoff,7.4,1106,Storm Over Asia,1928
019c19e3-7e60-763f-8839-4123c22f441a,2026-02-01 15:47:28.161+00,null,6.8,22,One Shot,2004
019c19e3-61b8-796d-97f0-c2d7d07bd243,2026-02-01 15:47:28.161+00,Janet Gaynor,7.5,1365,Street Angel,1928
019c19e3-61b9-7229-81ad-d4e54d96b946,2026-02-01 15:47:28.161+00,Walt Disney,7.7,4230,Steamboat Willie,1928
019c19e3-61ba-728b-b4d1-bfdd94d97169,2026-02-01 15:47:28.161+00,Erich von Stroheim,7.5,961,The Wedding March,1928
019c19e3-61bc-7b92-bc34-d7b29ab8a90b,2026-02-01 15:47:28.161+00,Helen Morgan,7.3,965,Applause,1929
019c19e3-67e9-763f-b6e6-7e51df09d0ad,2026-02-01 15:47:28.161+00,Takeshi Sakamoto,7.6,834,Dekigokoro,1933
019c19e3-61bd-778b-9f94-e1fa686b9cca,2026-02-01 15:47:28.161+00,Albert Steinrèck,7.6,859,Asphalt,1929
019c19e3-61be-7e13-9982-9d89dc284d5d,2026-02-01 15:47:28.161+00,Charles King,6.4,4169,The Broadway Melody,1929
019c19e3-61bf-7e0a-8cf8-98fe28037fb9,2026-02-01 15:47:28.161+00,George Arliss,6.5,694,Disraeli,1929
019c19e3-61bf-7eb6-a2e3-afdd26769f88,2026-02-01 15:47:28.161+00,Daniel L. Haynes,7,1055,Hallelujah,1929
019c19e3-69e6-7d0a-b791-616e147d184f,2026-02-01 15:47:28.161+00,Lissi Alandh,7.5,39,Barabbas,1953
